id	category	title	review 1	review 2	review 3	repro
401-Paper2138	Masked Vision and Language Pre-training with Unimodal and Multimodal Contrastive Losses for Medical Visual Question Answering		The authors provide detailed structure of the proposed network and losses in the paper as well as the reproducibility checklist except the momentum model in Fig. 1. which is suspected as MoCo[19].			The authors provide detailed structure of the proposed network and losses in the paper as well as the reproducibility checklist except the momentum model in Fig. 1. which is suspected as MoCo[19].
449-Paper1294	Multiple Prompt Fusion for Zero-Shot Lesion Detection Using Vision-Language Models			The work was evaluated on a publicly available dataset. According to the checklist, code will be released after acceptance. This information is not included in the paper.		The work was evaluated on a publicly available dataset. According to the checklist, code will be released after acceptance. This information is not included in the paper.
457-Paper2485	Multi-task Joint Prediction of Infant Cortical Morphological and Cognitive Development				Tested on a public dataset, and the authors have mentioned in the reproducibility checklist that the codes will be made available.	Tested on a public dataset, and the authors have mentioned in the reproducibility checklist that the codes will be made available.
460-Paper0534	Multi-View Vertebra Localization and Identification from CT Images				The authors have used a public dataset (VerSe) for their evaluation. Since the pipeline is complex, it would really be beneficial to have the authors' code in order to be able to reproduce the results. The reproducibility checklist filled by the authors does state that the code will be released but: the submission/paper does not mention it; some answers of the reproducibility checklist seem inaccurate (for instance error bars, runtime, memory footprint, etc... were claimed to be reported but actually were not) so I am not sure how this can be trusted.	The authors have used a public dataset (VerSe) for their evaluation. Since the pipeline is complex, it would really be beneficial to have the authors' code in order to be able to reproduce the results. The reproducibility checklist filled by the authors does state that the code will be released but: the submission/paper does not mention it; some answers of the reproducibility checklist seem inaccurate (for instance error bars, runtime, memory footprint, etc... were claimed to be reported but actually were not) so I am not sure how this can be trusted.
461-Paper2286	MUVF-YOLOX: A Multi-modal Ultrasound Video Fusion Network for Renal Tumor Diagnosis		The authors use an internal dataset. In the checklist, they select to provide the codes, data, and model. However, these informations do not appear in the paper.			The authors use an internal dataset. In the checklist, they select to provide the codes, data, and model. However, these informations do not appear in the paper.
483-Paper2143	PAS-Net: Rapid Prediction of Antibiotic Susceptibility from Fluorescence Images of Bacterial Cells Using Parallel Dual-branch Network			According to the  answers to the reproducibility checklist, there will be no code to be released, which makes the reproducibility of the paper a little challenge.		According to the  answers to the reproducibility checklist, there will be no code to be released, which makes the reproducibility of the paper a little challenge.
487-Paper3291	PCMC-T1: Free-breathing myocardial T1 mapping with Physically-Constrained Motion Correction				The manuscript mentions the code will be available in a repository and the checklist supports this statement. Once uploaded, it will guarantee reproducibility.	The manuscript mentions the code will be available in a repository and the checklist supports this statement. Once uploaded, it will guarantee reproducibility.
494-Paper0128	PET-diffusion: Unsupervised PET Enhancement based on the Latent Diffusion Model		reproducibility is very poor both datasets and model are not published. The author's reproducibility checklist is inconsistent with the actual paper.			reproducibility is very poor both datasets and model are not published. The author's reproducibility checklist is inconsistent with the actual paper.
510-Paper0987	Prediction of Cognitive Scores by Joint Use of Movie-watching fMRI Connectivity and Eye Tracking via Attention-CensNet		According to the reproducibility checklist, the reproducibility of the paper is acceptable.			According to the reproducibility checklist, the reproducibility of the paper is acceptable.
519-Paper2123	Prompt-based Grouping Transformer for Nucleus Detection and Classification				Authors have filled out a reproducibility checklist without any glaring issues.	Authors have filled out a reproducibility checklist without any glaring issues.
533-Paper3264	Reflectance Mode Fluorescence Optical Tomography with Consumer-Grade Cameras		After carefully examining the reproducibility checklist submitted by the authors and considering the requirements for reproducibility, I must state that reproducing the results of this paper may be difficult. While the authors have provided a detailed methodology and experimental setup, they have not included code or data to support the results. Without access to the data and code, it may be challenging to reproduce the experiments described in the paper. Additionally, some of the experiments rely on proprietary software or tools that may not be easily accessible to others. Furthermore, the paper lacks a clear description of the hardware and software used in the experiments, which could affect the ability to reproduce the results. Additionally, there is no mention of the version control system used to manage the code and data, which could make it difficult to track changes and reproduce specific versions of the experiments. In summary, while the authors have made efforts to ensure the reproducibility of their results, the lack of code and data, as well as some missing details about the experimental setup, may make reproducing the experiments challenging.			After carefully examining the reproducibility checklist submitted by the authors and considering the requirements for reproducibility, I must state that reproducing the results of this paper may be difficult. While the authors have provided a detailed methodology and experimental setup, they have not included code or data to support the results. Without access to the data and code, it may be challenging to reproduce the experiments described in the paper. Additionally, some of the experiments rely on proprietary software or tools that may not be easily accessible to others. Furthermore, the paper lacks a clear description of the hardware and software used in the experiments, which could affect the ability to reproduce the results. Additionally, there is no mention of the version control system used to manage the code and data, which could make it difficult to track changes and reproduce specific versions of the experiments. In summary, while the authors have made efforts to ensure the reproducibility of their results, the lack of code and data, as well as some missing details about the experimental setup, may make reproducing the experiments challenging.
534-Paper0923	Regressing Simulation to Real: Unsupervised Domain Adaptation for Automated Quality Assessment in Transoesophageal Echocardiography			Reproducibility checklist is thorough		Reproducibility checklist is thorough
553-Paper1184	Robust estimation of the microstructure of the early developing brain using deep learning			The responses to the reproducibility checklist appear correct.		The responses to the reproducibility checklist appear correct.
582-Paper2757	Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning		Code is not yet available but the authors state, in the reproducibility checklist, that it will be made available.		All relevant checklist is clicked. But Hyper-parameters and the training process should be reported at least in appendix.	All relevant checklist is clicked. But Hyper-parameters and the training process should be reported at least in appendix.
586-Paper3131	Self-Supervised MRI Reconstruction with Unrolled Diffusion Models				Although all items in reproducibility checklist are checked, how to reproduce the results are unclear. How is the data undersampled? (which undersampling pattern) How to reproduce the training? Batch-size, learning-rates, scheduler, epochs, the hyper-parameters used in the network (alpha and beta, heads of Transformers, hidden layer dimension, etc..) etc. are not given.	Although all items in reproducibility checklist are checked, how to reproduce the results are unclear. How is the data undersampled? (which undersampling pattern) How to reproduce the training? Batch-size, learning-rates, scheduler, epochs, the hyper-parameters used in the network (alpha and beta, heads of Transformers, hidden layer dimension, etc..) etc. are not given.
593-Paper1041	Semi-supervised Domain Adaptive Medical Image Segmentation through Consistency Regularized Disentangled Contrastive Learning			Although the authors mention that the code will be released, they did not specify in the reproducibility checklist. I suggest the authors to release code for public benefits if accepted.		Although the authors mention that the code will be released, they did not specify in the reproducibility checklist. I suggest the authors to release code for public benefits if accepted.
609-Paper1777	SMRD: SURE-based Robust MRI Reconstruction with Diffusion Models			All relevant details and parameters are defined in the manuscript. However, code access and/or documentation about used datasets (e.g. in code repository) are not provided. Reproducibility checklist is correctly answered.		All relevant details and parameters are defined in the manuscript. However, code access and/or documentation about used datasets (e.g. in code repository) are not provided. Reproducibility checklist is correctly answered.
611-Paper3696	Solving Low-Dose CT Reconstruction via GAN with Local Coherence			Confirmed that reproducibility checklist is completed and accurate.		Confirmed that reproducibility checklist is completed and accurate.
612-Paper0985	Source-Free Domain Adaptation for Medical Image Segmentation via Prototype-Anchored Feature Alignment and Contrastive Learning		Judging from the checklist, there seems to be no major issues with reproducibility.			Judging from the checklist, there seems to be no major issues with reproducibility.
615-Paper2515	Spatiotemporal Incremental Mechanics Modeling of Facial Tissue Change			Most of the important parameters are given and presented in a clear, straight-forward manner and the authors state that code will be released (in the reproducibility checklist). Data is not available, but the method can be reproduced.		Most of the important parameters are given and presented in a clear, straight-forward manner and the authors state that code will be released (in the reproducibility checklist). Data is not available, but the method can be reproduced.
631-Paper0188	Surgical Video Captioning with Mutual-Modal Concept Alignment			The authors will release the code upon acceptance (indicated in the paper / checklist), and also the dataset (indicated in the checklist). It is however unclear, if the authors intend to release their newly collected large Neurosurgery Video Captioning Dataset, or only refer to the already public EndoVis Image Captioning Dataset. I would strongly encourage the authors to publish the Neurosurgery Video Captioning Dataset, if possible.		The authors will release the code upon acceptance (indicated in the paper / checklist), and also the dataset (indicated in the checklist). It is however unclear, if the authors intend to release their newly collected large Neurosurgery Video Captioning Dataset, or only refer to the already public EndoVis Image Captioning Dataset. I would strongly encourage the authors to publish the Neurosurgery Video Captioning Dataset, if possible.
635-Paper1380	SwIPE: Efficient and Robust Medical Image Segmentation with Implicit Patch Embeddings		Based on the information provided by the authors, the paper has been submitted with a completed reproducibility checklist. The authors have listed implementation details that can be followed easily.			Based on the information provided by the authors, the paper has been submitted with a completed reproducibility checklist. The authors have listed implementation details that can be followed easily.
644-Paper2911	Tensor-based Multimodal Learning for Prediction of Pulmonary Arterial Wedge Pressure from Cardiac MRI				According to the reproducibility checklist, the authors will open-source their work.	According to the reproducibility checklist, the authors will open-source their work.
651-Paper0181	Topology-Preserving Automatic Labeling of Coronary Arteries via Anatomy-aware Connection Classifier			The reproducibility of the paper is strong based on the provided information in the reproducibility checklist. The authors have addressed most of the crucial aspects, which includes: Clear descriptions of the software framework, assumptions, and mathematical setting, algorithm, and/or model. Detailed information about the datasets, including relevant statistics, and links to downloadable versions if public. Code availability, including specification of dependencies Comprehensive reporting of experimental results, such as hyper-parameter selection and sensitivity analysis		The reproducibility of the paper is strong based on the provided information in the reproducibility checklist. The authors have addressed most of the crucial aspects, which includes: Clear descriptions of the software framework, assumptions, and mathematical setting, algorithm, and/or model. Detailed information about the datasets, including relevant statistics, and links to downloadable versions if public. Code availability, including specification of dependencies Comprehensive reporting of experimental results, such as hyper-parameter selection and sensitivity analysis
653-Paper0994	Toward Fairness Through Fair Multi-Exit Framework for Dermatological Disease Diagnosis		"The reproducibility of this paper is quite low. There are several key details that are missing (see weaknesses): the loss function, the number of samples in and the class-wise distribution of training, validation, and testing sets, the number of training runs and if the experiments were repeated. In the reproducibility checklist, the authors have replied ""Yes"" to several items that are not present in the paper: ""A clear declaration of what software framework and version you used."" -> missing. ""Information on sensitivity regarding parameter changes."" -> missing. ""The exact number of training and evaluation runs."" -> missing. ""The details of train / validation / test splits."" -> missing. ""A description of results with central tendency (e.g. mean) & variation (e.g. error bars)."" -> missing. ""An analysis of statistical significance of reported differences in performance between methods."" -> missing."			"The reproducibility of this paper is quite low. There are several key details that are missing (see weaknesses): the loss function, the number of samples in and the class-wise distribution of training, validation, and testing sets, the number of training runs and if the experiments were repeated. In the reproducibility checklist, the authors have replied ""Yes"" to several items that are not present in the paper: ""A clear declaration of what software framework and version you used."" -> missing. ""Information on sensitivity regarding parameter changes."" -> missing. ""The exact number of training and evaluation runs."" -> missing. ""The details of train / validation / test splits."" -> missing. ""A description of results with central tendency (e.g. mean) & variation (e.g. error bars)."" -> missing. ""An analysis of statistical significance of reported differences in performance between methods."" -> missing."
654-Paper0225	Towards Accurate Microstructure Estimation via 3D Hybrid Graph Transformer			the authors meet all the criteria on the reproducibility checklist.		the authors meet all the criteria on the reproducibility checklist.
657-Paper3191	Towards frugal unsupervised detection of subtle abnormalities in medical imaging		The reproducibility checklist has been filled but not codes were attached.			The reproducibility checklist has been filled but not codes were attached.
659-Paper3244	Towards multi-modal anatomical landmark detection for ultrasound-guided brain tumor resection with contrastive learning			The work should be reproducible with reasonable efforts considering the checklist provided by the authors.		The work should be reproducible with reasonable efforts considering the checklist provided by the authors.
663-Paper3122	Tracking adaptation to improve SuperPoint for 3D reconstruction in endoscopy				The paper appears reproducible, with clear reference to the training data, software and methods used. The reproducibility checklist implies that code will be released for this method, however this is not mentioned in the paper. The intention may be to add this sentence to the camera ready version.	The paper appears reproducible, with clear reference to the training data, software and methods used. The reproducibility checklist implies that code will be released for this method, however this is not mentioned in the paper. The intention may be to add this sentence to the camera ready version.
671-Paper1235	TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification				The authors mention in the reproducibility checklist that the code will be released. The authors provided the necessary details such as hyperparameter settings, training epochs, hardware utilized, batch size etc. The authors also provided extensive ablation study in the supplementary material. The results should be reproducible with these details.	The authors mention in the reproducibility checklist that the code will be released. The authors provided the necessary details such as hyperparameter settings, training epochs, hardware utilized, batch size etc. The authors also provided extensive ablation study in the supplementary material. The results should be reproducible with these details.
673-Paper0529	Treasure in Distribution: A Domain Randomization based Multi-Source Domain Generalization for 2D Medical Image Segmentation		The authors have declared related options as found from the checklist.		"The authors will share code. However, I don't see the link to downloadable version of the dataset in the paper although the authors indicated ""Yes"" in the reproducibility checklist."	"The authors will share code. However, I don't see the link to downloadable version of the dataset in the paper although the authors indicated ""Yes"" in the reproducibility checklist."
690-Paper0530	UniSeg: A Prompt-driven Universal Segmentation Model as well as A Strong Representation Learner				From the description and the response in the checklist, I believe this work is reproducible.	From the description and the response in the checklist, I believe this work is reproducible.
695-Paper1729	Unsupervised Discovery of 3D Hierarchical Structure with Generative Diffusion Features			"Reproducibility is rather weak and significantly lower as promised in the reproducibility checklist. The checklist contains only ""yes""es, even at questions that are not applicable for this work. However, the manuscript is missing many of the promised information, such as description of the compute hardware, A description of results with central tendency (e.g. mean) & variation, Details on how baseline methods were implemented and tuned, A description of the memory footprint, Discussion of clinical significance, The average runtime for each result, or estimated energy cost, a note that code will be released and more."		"Reproducibility is rather weak and significantly lower as promised in the reproducibility checklist. The checklist contains only ""yes""es, even at questions that are not applicable for this work. However, the manuscript is missing many of the promised information, such as description of the compute hardware, A description of results with central tendency (e.g. mean) & variation, Details on how baseline methods were implemented and tuned, A description of the memory footprint, Discussion of clinical significance, The average runtime for each result, or estimated energy cost, a note that code will be released and more."
708-Paper2976	VISA-FSS: A Volume-Informed Self Supervised Approach for Few-Shot 3D Segmentation				The authors answered no to all questions in the reproducibility checklist. This means that the author would not release any code. Although the authors claimed all hyper parameters and protocols are following [18], it would be difficult to reproduce entirely the results. Especially, the registration module is not thoroughly discussed. However, the idea is well explained, means it would not be difficult to test the similar idea in other applications. [18] https://arxiv.org/abs/2007.09886	The authors answered no to all questions in the reproducibility checklist. This means that the author would not release any code. Although the authors claimed all hyper parameters and protocols are following [18], it would be difficult to reproduce entirely the results. Especially, the registration module is not thoroughly discussed. However, the idea is well explained, means it would not be difficult to test the similar idea in other applications. [18] https://arxiv.org/abs/2007.09886
709-Paper2328	Vision Transformer based Multi-Class Lesion Detection in IVOCT		As pointed out in the weaknesses section, the reproducibility checklist is fully checked while information on publishing data, code or ethics approval are not mentioned in the manuscript. Furthermore, no information on hyperparameters is given in the paper which makes reproducibility of the results very difficult.		It is really hard to comment on the reproducibility, as the statements between the reproducibility checklist and the actual paper are in completely opposite directions.  If one purely looks at the paper it is as poor as it gets: No public data, no public code, no details on the data split, no details on the value ranges for the data augmentation, etc. Looking at the reproducibility checklist all of that will be provided.	It is really hard to comment on the reproducibility, as the statements between the reproducibility checklist and the actual paper are in completely opposite directions.  If one purely looks at the paper it is as poor as it gets: No public data, no public code, no details on the data split, no details on the value ranges for the data augmentation, etc. Looking at the reproducibility checklist all of that will be provided.
712-Paper3421	vox2vec: A Framework for Self-supervised Contrastive Learning of Voxel-level Representations in Medical Images				The authors agree to release the code in the checklist.	The authors agree to release the code in the checklist.
715-Paper1867	Wasserstein Distance-Preserving Vector Space of Persistent Homology			The authors did not provide a link to their code but will share it after acceptance as indicated by their answers to the reproducibility checklist.		The authors did not provide a link to their code but will share it after acceptance as indicated by their answers to the reproducibility checklist.
