stat;;kappa score;kappa score;kappa score;confidence interval low;confidence interval low;confidence interval low;confidence interval high;confidence interval high;confidence interval high;standard error;standard error;standard error
method;;bootstrap;cohen;fleiss;bootstrap;cohen;fleiss;bootstrap;cohen;fleiss;bootstrap;cohen;fleiss
category;review;;;;;;;;;;;;
Code;all reviews;0.9820779331431866;0.9826989619377163;0.9826989619377163;0.9444303732391952;0.9489305147373384;0.9554019393657652;1.0;1.0164674091380943;1.0099959845096673;0.017463621167565984;0.01722879959202956;0.013927052332628089
Code;review 1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0
Code;review 2;0.945230241186944;0.9459459459459459;0.9459459459459459;0.812465034965035;0.8413327064596277;0.9002506480372966;1.0;1.0505591854322642;0.9916412438545953;0.053170898985792074;0.0533741017787338;0.023313927504412944
Code;review 3;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0
Comments;all reviews;0.7087764007216949;0.7078975838442121;0.7078975838442121;0.6080288411011826;0.6109001622682754;0.589490211320417;0.802655750199333;0.8048950054201488;0.8263049563680072;0.04930225283365271;0.049488480395886096;0.0604119247570383
Comments;review 1;0.8033534395721448;0.8061389337641357;0.8061389337641357;0.6460675944848281;0.6631242908585009;0.6287991078463706;0.9339443395693366;0.9491535766697705;0.9834787596819008;0.07141532662724859;0.07296665454369121;0.09047950301926794
Comments;review 2;0.69842803296336;0.7068403908794787;0.7068403908794787;0.531234326954522;0.5382278776114738;0.5015435487990149;0.8621936991228109;0.8754529041474836;0.9121372329599425;0.08404465085185149;0.08602679248367594;0.10474328677574687
Comments;review 3;0.6009409814630895;0.6094385679414158;0.6094385679414158;0.41931231745077874;0.4245526546946702;0.393786414176277;0.7668706471728357;0.7943244811881615;0.8250907217065546;0.08977040175499125;0.09432954757487023;0.11002660906384634
Datasets;all reviews;0.9305563092452654;0.9315068493150686;0.9315068493150686;0.8601493289359168;0.8655117644763581;0.8799493301152194;0.9832402234636871;0.997501934153779;0.9830643685149177;0.032890627531805154;0.03367096165240325;0.026304856734616952
Datasets;review 1;0.8988275351773732;0.8992443324937027;0.8992443324937027;0.7232750759878419;0.7631398712639956;0.7855515780528228;1.0;1.0353487937234098;1.0129370869345826;0.07109710461995032;0.06944105164780971;0.058006507367795855
Datasets;review 2;0.8958527900232152;0.8979591836734695;0.8979591836734695;0.7100977995110024;0.7601186961525673;0.7931383790453702;1.0;1.0357996711943716;1.0027799883015687;0.07248524502065715;0.07032677934739905;0.05348000236127514
Datasets;review 3;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0
Error bars or statistical significance;all reviews;;1.0;1.0;;1.0;1.0;;1.0;1.0;;0.0;0.0
Error bars or statistical significance;review 1;;;;;;;;;;;;
Error bars or statistical significance;review 2;;1.0;1.0;;1.0;1.0;;1.0;1.0;;0.0;0.0
Error bars or statistical significance;review 3;;1.0;1.0;;1.0;1.0;;1.0;1.0;;0.0;0.0
Experimental results;all reviews;0.8610435905710853;0.8636363636363634;0.8636363636363634;0.7279570993506108;0.7466250270378868;0.8636363636363634;0.971671388101983;0.98064770023484;0.8636363636363634;0.06231282780655628;0.059699661529835024;0.0
Experimental results;review 1;0.6713809894534386;0.6923076923076924;0.6923076923076924;0.34782608695652173;0.40624319012630683;0.6923076923076924;0.9253731343283582;0.978372194489078;0.6923076923076924;0.15270048565876243;0.1459512766231559;0.0
Experimental results;review 2;;1.0;1.0;;1.0;1.0;;1.0;1.0;;0.0;0.0
Experimental results;review 3;0.9296112839362957;0.9354838709677419;0.9354838709677419;0.7777777777777778;0.8106229077098782;0.9354838709677419;1.0;1.0603448342256057;0.9354838709677419;0.06675727002404705;0.06370457309074679;0.0
Meta-categories;all reviews;0.9806889904937;0.9815837937384899;0.9815837937384899;0.9390243902439024;0.9456387431274063;0.9700272817431062;1.0;1.0175288443495736;0.9931403057338737;0.01877926314763903;0.018339311536267194;0.005896179589481504
Meta-categories;review 1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0
Meta-categories;review 2;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0
Meta-categories;review 3;0.9328214508227431;0.9354838709677419;0.9354838709677419;0.7727272727272727;0.8106229077098782;0.9354838709677419;1.0;1.0603448342256057;0.9354838709677419;0.0681116950318822;0.06370457309074679;0.0
Models and algorithms;all reviews;0.9011219521895935;0.9030381383322558;0.9030381383322558;0.8072805336512012;0.8198368000915807;0.9030381383322558;0.9793143137874163;0.9862394765729309;0.9030381383322558;0.042412941305310446;0.04244966236769136;0.0
Models and algorithms;review 1;0.9210286547098578;0.9253731343283584;0.9253731343283584;0.7272727272727273;0.7809444081718746;0.9253731343283584;1.0;1.0698018604848423;0.9253731343283584;0.07679260421257442;0.0736881255900428;0.0
Models and algorithms;review 2;0.8907907179364619;0.8936170212765956;0.8936170212765956;0.7142857142857143;0.7499109810952294;0.8339324403334764;1.0;1.0373230614579618;0.9533016022197148;0.0757317675937238;0.07331940825579908;0.030451316807713888
Models and algorithms;review 3;0.8876714476615098;0.8904109589041095;0.8904109589041095;0.7002724550898203;0.7423740517583733;0.8904109589041095;1.0;1.0384478660498455;0.8904109589041095;0.07805529430123835;0.07552903425802864;0.0
Statement;all reviews;0.7385387394031201;0.7420522683561489;0.7420522683561489;0.6307619094680309;0.6356426102397729;0.6393588786291027;0.8286946163672378;0.8484619264725249;0.8447456580831951;0.05165050948991741;0.054290641896110235;0.05239458659543172
Statement;review 1;0.6790052267532752;0.6859666339548577;0.6859666339548577;0.49118240247636197;0.49132673714841935;0.49415993826710713;0.866003181767731;0.880606530761296;0.8777733296426082;0.09220964220901495;0.09930606979920326;0.09786055902436253
Statement;review 2;0.7038323782601734;0.712820512820513;0.712820512820513;0.5129152294560394;0.5195847787670327;0.5404794174818187;0.8685866929408782;0.9060562468739932;0.8851616081592072;0.08903116761011882;0.0985896602313675;0.087929130274844
Statement;review 3;0.8316863602389043;0.833852544132918;0.833852544132918;0.6595647307548812;0.6793836540661262;0.6767773517219547;0.9568546987109593;0.9883214341997097;0.9909277365438812;0.07533588703696108;0.07881065819734276;0.08014040429130778
